id,unitPrice,long,lat
1,48920,116.230032,39.846991
2,95058,116.365738,39.88743
3,34702,116.650783,39.918597
4,29696,116.549071,40.156489
5,49334,116.424619,39.851661
6,44227,116.64509,39.886163
7,147148,116.342244,39.916551
8,34926,116.234915,39.845957
9,46133,116.551292,39.945823
10,51190,116.687956,39.915817
11,33952,116.541884,39.756792
12,33042,116.153921,39.8095
13,43912,116.646788,39.889617
14,46780,116.641095,39.894467
15,40463,116.42625,40.130964
16,113309,116.365683,39.89356
17,54966,116.493043,39.801817
18,89606,116.361003,39.873555
19,67935,116.351655,39.893312
20,68264,116.407526,39.90403
21,108751,116.464811,40.018784
22,85818,116.435943,40.025798
23,132670,116.345747,39.922183
24,70631,116.514921,39.930865
25,53371,116.441519,39.844701
26,47096,116.680977,39.868023
27,89997,116.407267,40.056289
28,52698,116.417875,39.847876
29,50199,116.453958,39.867764
30,44224,116.647081,40.123847
31,105145,116.705593,39.919702
32,88146,116.440569,39.967725
33,30324,116.148051,39.718681
34,49987,116.692455,39.891694
35,89776,116.405529,39.966494
36,44844,116.462039,39.86873
37,67394,116.346262,39.870426
38,48948,116.584507,39.918493
39,93406,116.397582,39.966836
40,119805,116.282498,39.958466
41,40486,116.685111,39.89311
42,74909,116.203248,39.920004
43,119152,116.31686,39.975671
44,31748,116.416501,40.127938
45,50704,116.336678,40.086835
46,54669,116.50635,39.899634
47,58223,116.422936,40.034418
48,60635,116.453467,39.873925
49,90461,116.436617,39.873012
50,43247,116.334181,39.783695
51,44689,116.226532,39.898421
52,106887,116.32202,39.927209
53,56399,116.432285,39.849133
54,50396,116.538484,39.956596
55,58784,116.411931,39.846324
56,89802,116.514192,39.929839
57,78056,116.354997,40.038982
58,141026,116.336616,39.894695
59,57771,116.446633,39.885304
60,89083,116.316841,39.981659
61,94946,116.312897,39.931298
62,102217,116.407267,40.056289
63,30111,116.71645,40.081387
64,23061,116.623537,40.358542
65,32822,116.673112,40.369356
66,127157,116.280139,39.915983
67,62439,116.475671,40.000064
68,63879,116.258442,39.920336
69,80636,116.413496,40.001922
70,41328,116.217939,39.757605
71,61199,116.299553,39.834567
72,68310,116.300727,40.099613
73,69078,116.300727,40.099613
74,92946,116.407267,40.056289
75,64463,116.469116,39.985396
76,67078,116.41592,39.851528
77,115964,116.464811,40.018784
78,31262,116.290372,39.840851
79,58885,116.457615,39.802859
80,11339,116.797243,40.418039
81,53897,116.384616,39.847858
82,133957,116.349586,39.932073
83,38735,116.247926,40.214613
84,54597,116.203517,39.917289
85,87255,116.514192,39.929839
86,60566,116.472525,39.879926
87,37994,116.665498,39.885257
88,67791,116.438195,39.9658
89,48957,116.463373,39.797602
90,44223,116.554734,39.824861
91,63511,116.389799,39.862438
92,65716,116.316069,39.845796
93,115730,116.33291,40.02902
94,62361,116.303205,39.835656
95,60111,116.418167,39.844128
96,69210,116.50197,39.919103
97,102626,116.342822,39.988601
98,55942,116.692455,39.891694
99,112208,116.363587,39.898369
100,82741,116.320286,40.040487
101,67791,116.372109,39.869255
102,69228,116.503486,39.898776
103,75140,116.434794,39.966179
104,59533,116.360331,39.848992
105,56885,116.475877,39.886332
106,81980,116.363601,39.842176
107,53254,116.432285,39.849133
108,59685,116.503344,39.916744
109,99548,116.284081,39.91793
110,42666,116.395769,39.814778
111,48356,116.41027,40.057145
112,97707,116.469323,39.897588
113,65944,116.448484,39.883072
114,52109,116.423386,40.042071
115,67844,116.407526,39.90403
116,65218,116.467115,39.88991
117,56100,116.424037,40.039522
118,91786,116.425039,39.999042
119,31293,116.130424,39.733346
120,58140,116.406539,40.052877
121,48897,116.33397,39.817087
122,82709,116.404701,39.972413
123,102349,116.175253,40.253158
124,59978,116.466904,39.872936
125,50261,116.226532,39.898421
126,60581,116.239296,39.899375
127,67163,116.43854,39.919458
128,33038,116.64946,40.186677
129,100121,116.433217,39.979188
130,43019,116.442717,39.803236
131,107123,116.360925,39.891401
132,122402,116.312796,39.910492
133,55005,116.368929,39.802918
134,130531,116.298478,39.914177
135,100874,116.328224,39.885106
136,75030,116.46432,39.89783
137,56709,116.503615,39.959278
138,41037,116.341016,39.800118
139,40504,116.408824,40.065221
140,36347,116.66361,40.185009
141,46760,116.588498,39.913608
142,56534,116.310342,39.851859
143,92897,116.312796,39.910492
144,74280,116.481664,39.899761
145,73404,116.369534,39.839296
146,52023,116.289129,39.843477
147,76109,116.438195,39.9658
148,97917,116.327052,39.886447
149,114671,116.359862,39.87306
150,46250,116.648844,40.128168
151,48404,116.669329,39.887346
152,33365,116.400378,39.715522
153,34906,116.596677,40.044062
154,54866,116.654397,40.123587
155,38041,116.409433,40.072248
156,60421,116.249456,39.87335
157,50362,116.259314,40.159611
158,36518,116.340034,39.750433
159,90098,116.397582,39.966836
160,34568,116.696049,39.942689
161,42950,116.68777,39.935706
162,61202,116.222526,39.892695
163,60131,116.385875,39.858304
164,60874,116.558482,39.922952
165,52075,116.200265,39.929989
166,62453,116.594776,39.92621
167,42223,116.671122,39.88508
168,148460,116.347206,39.9096
169,70407,116.469116,39.985396
170,72547,116.437174,39.953645
171,33496,116.103273,39.937194
172,110320,116.279362,39.899832
173,113603,116.280316,40.020072
174,55834,116.386043,39.864855
175,64541,116.373865,39.846638
176,95116,116.409884,39.963044
177,104085,116.445803,39.897931
178,37677,116.35511,39.740867
179,57056,116.501184,39.978401
180,73090,116.512776,39.931043
181,64133,116.448484,39.883072
182,46352,116.574346,39.895693
183,38209,116.433795,39.805738
184,54961,116.476602,39.937508
185,49886,116.277961,39.894328
186,68743,116.303205,39.835656
187,89426,116.326759,40.031247
188,45783,116.455559,39.811798
189,56931,116.555508,39.950968
190,57258,116.289927,39.83954
191,65695,116.458004,39.884034
192,43791,116.093552,39.937166
193,51598,116.670638,39.882786
194,162163,116.407267,40.056289
195,52212,116.531642,39.823742
196,43235,116.637461,39.883372
197,88608,116.327886,39.888615
198,80425,116.496781,39.954483
199,77890,116.31915,39.878553
200,44937,116.260581,40.164057
201,27558,116.407267,40.056289
202,80040,116.271138,39.908854
203,46214,116.445141,39.805966
204,105500,116.328224,39.885106
205,78959,116.250397,39.933344
206,44997,116.246727,40.19894
207,51079,116.33641,39.751151
208,55338,116.51237,39.917909
209,49081,116.499522,39.865741
210,53093,116.588428,39.931138
211,62260,116.45939,39.890891
212,56957,116.446633,39.885304
213,77890,116.31915,39.878553
214,44937,116.260581,40.164057
215,51598,116.670638,39.882786
216,45783,116.455559,39.811798
217,68743,116.303205,39.835656
218,43791,116.093552,39.937166
219,65695,116.458004,39.884034
220,57258,116.289927,39.83954
221,56931,116.555508,39.950968
222,105500,116.328224,39.885106
223,62306,116.38309,39.85788
224,89944,116.265849,39.907923
225,53927,116.588428,39.931138
226,47484,116.603603,39.899131
227,57740,116.3318,40.053205
228,141256,116.349586,39.932073
229,41203,116.449197,39.805017
230,43235,116.637461,39.883372
231,88608,116.327886,39.888615
232,80425,116.496781,39.954483
